"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000000001",1755,1226,2333,1330,1507,1287,1081,853,1108,1038
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",102,43,122,60,57,76,40,48,17,27
"ENSMUSG00000000031",3,2,0,2,1,7,0,1,0,0
"ENSMUSG00000000037",4,11,12,15,7,8,8,13,7,7
"ENSMUSG00000000049",4,0,24,3,11,5,0,0,2,4
"ENSMUSG00000000056",505,194,541,239,277,240,180,146,157,161
"ENSMUSG00000000058",65,95,29,97,92,85,81,54,70,90
"ENSMUSG00000000078",1031,575,1024,599,576,533,589,340,438,901
"ENSMUSG00000000085",176.999480901766,473,276.010630316784,457.550194637299,482,465.13646870071,457,449,453.914632758161,341
"ENSMUSG00000000088",2023,390,3324,762,625,1083,508,207,334,332
"ENSMUSG00000000093",2,55,10,27,76,41,42,44,37,57
"ENSMUSG00000000094",2,0,1,0,1,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",74.0941678215093,39.1556060778414,9.02732571968821,27.2041739493141,16.0345296933597,37.0340363698076,14.0036946114624,26.1677140549204,10.0429168973601,23.1049661718592
"ENSMUSG00000000125",9,1,12,4,9,7,4,1,3,0
"ENSMUSG00000000126",13,33,3,10,16,14,33,18,26,54
"ENSMUSG00000000127",87,176,149,172,205,141,162,144,157,130
"ENSMUSG00000000131",875.009527048845,1043.71697708192,929.509256112418,900.0743760665,1188.81601791905,843.22840619633,942.280205486491,846.716707181624,794.169225867195,786.969882468509
"ENSMUSG00000000134",376,552,475,483,566,542,488,398,429,440
"ENSMUSG00000000142",201,138,576,139,175,151,94,62,104,94
"ENSMUSG00000000148",148,255,214,188,258,234,220,167,163,178
"ENSMUSG00000000149",288,703,335,526,779,661,587,513,590,468
"ENSMUSG00000000154",780,49,1068,235,203,281,48,19,29,22
"ENSMUSG00000000157",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000159",411,110,652,195,190,184,147,100,96,62
"ENSMUSG00000000167",14,34,15,23,38,42,48,32,49,26
"ENSMUSG00000000168",774,584,1308,611,674,632,487,491,561,445
"ENSMUSG00000000171",3258,1177,5078,1542,1679,2039,1285,922,1189,997
"ENSMUSG00000000182",10,1,0,0,1,1,0,1,0,1
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",2561,15599,4358,10598,14945,8994,11866,12075,13579,10085
"ENSMUSG00000000194",1028.58728339359,913.024986099192,1533.21281652538,904.486070223172,1148.03062532609,977.182993218505,792,757.246630388947,883.270284796305,640.274739625828
"ENSMUSG00000000197",45,610,147,471,631,349,492,504.000089644606,646,422
"ENSMUSG00000000202",5,124,31,97,154,138,118,99,110,56
"ENSMUSG00000000204",21,4,150,15,26,27.0293619451643,6,5,2,5
"ENSMUSG00000000214",9,191,79,190,314,355,267,205,193,135
"ENSMUSG00000000215",84615.39469979,1988892.36301696,434833.813020033,1596491.68585162,2671124.0815996,2543365.0063327,2150594.3745188,1846359.16986633,1996151.39327515,1322605.37493626
"ENSMUSG00000000216",8,256,48,126,249,125,298,305,361,357
"ENSMUSG00000000223",3.00011356009762,8.00014112759774,4.00005137394586,0,6,1.00002151071895,4.00005955772119,1.00001309926986,2.00008207600211,7.0006306705535
"ENSMUSG00000000244",196.543280318053,81.0755932890308,0,67.1437422094701,54.0472853635881,128.147213780405,19.064592713238,40.0588920851019,32.32923887312,34.8301153778769
"ENSMUSG00000000247",2,0,0,1,1,0,0,0,0,0
"ENSMUSG00000000248",32,3,1,2,4,9,0,0,0,1
"ENSMUSG00000000253",70,740,184,602,899,704,632,514,702,565
"ENSMUSG00000000263",1,11,1,14,4,5,2,7,9,1
"ENSMUSG00000000266",378.000225744142,893,449,693,881,474,658.000088788311,706.020830723924,904.10346925011,615
"ENSMUSG00000000275",1169.07243525241,1319.43915240524,3118.80144472325,1367.64895506926,1536.46595031215,1252.04489942484,1273.68797719564,1067.02418345704,1270.15509879349,937.695667631042
"ENSMUSG00000000276",138.113887210073,1043.09230141263,221.264947235884,629.106221438493,848.878009139655,497.310989448676,760.562799523025,829.071751558949,990,703.086668588609
"ENSMUSG00000000278",542,827,605,760,1012,911,741,646,795,628
"ENSMUSG00000000282",329,646,354,520,757,444,603,432,443,516
"ENSMUSG00000000290",1154,430,76,379,497,819,494,185,302,411
"ENSMUSG00000000295",79,49,74,61,54,57,58,50,50,42
"ENSMUSG00000000296",33,114,86,85,141,116,91,79,105,91
"ENSMUSG00000000301",15,32,40,23,48,47,22,19,25,20
"ENSMUSG00000000303",4882.94163837015,3834,9806,4239,5043,4153,3625.6582275925,3068,3668,2980
"ENSMUSG00000000305",18,92,34,138,213,106,125,94,122,86
"ENSMUSG00000000308",11713,437,19697,3440,2239,3757,787,292,611,199
"ENSMUSG00000000317",23,110,45,115,162,191,131,90,84,70
"ENSMUSG00000000318",23,92.3674291010714,10,63,53.4831922637315,103.550216338925,151.398762324119,24.9063641443091,44.2278694761448,73.4717956405519
"ENSMUSG00000000320",10.1196049956653,22,11.0007354674952,29,37.1635037534674,35,23.153678823587,17,9.00007669589073,11.1035252849955
"ENSMUSG00000000326",997.694085156497,1001.42330145173,1828.09902561507,995.37467613915,1351.01423528268,1247.52142183198,978.073848191122,731.923272876689,803.923158211878,695.558404922115
"ENSMUSG00000000339",263,164,382,198,204,234,178,142,144,143
"ENSMUSG00000000340",437.795008133658,284.559057403622,487.68296545497,255.504217812331,336.083113900531,230.551294460278,220.687536675683,245.612167339289,282.729982855818,280.274245394352
"ENSMUSG00000000346",3002,1745,3567,2026,2203,2119,1509,1281.68419205571,1486,1436
"ENSMUSG00000000355",253,229,253,189,252,262,227,200,198,183
"ENSMUSG00000000359",14,17,2,5,7,19,13,6,2,14
"ENSMUSG00000000365",1,0,1,4,5,5,5,3,2,1
"ENSMUSG00000000374",1364,1302,2002,1189,1419,1131,1025,923,1018,999
"ENSMUSG00000000378",506,379,240,359,431,536,387,241,308,291
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",714.627253760663,261,1089.49992094524,301,307.099831180183,434,315.968984636733,216,225.237291138799,262.375627621645
"ENSMUSG00000000385",1623,137,2923,550,479,667,233,135,135,123
"ENSMUSG00000000386",36.8530479670738,21.2564649790628,77.6497300722864,23,21.2269631714056,28.7258222541697,9,8,9,8
"ENSMUSG00000000392",13,3,6,10,10,5,2,3,1,6
"ENSMUSG00000000394",6588,92722,32675,95336,140548,303991,99932,72307,59371,63130
"ENSMUSG00000000399",1311.00274090582,506.000551867116,2133,706,723.001701890512,906.004762899225,563.003010247926,385,483,451
"ENSMUSG00000000402",1.00005670793173,1.00005175551982,4.01288045613493,4.00031090393433,3.00037153283086,8.00065588144192,2.00173073161262,5.00057353514209,6.00042102866935,6.00057194534076
"ENSMUSG00000000409",1241,124,70,179,137,267,22,33,17,86
"ENSMUSG00000000411",0,0,0,0,0,2,0,1,1,1
"ENSMUSG00000000416",31,494,138,283,392,229,342,385,408,326
"ENSMUSG00000000420",2101,1302,2730,1519,1582,1357,1070,946,1152,1022
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",244.000320739076,351.000358345924,336.000665391743,255,361,315,262,241,316.000107101348,262.000225380028
"ENSMUSG00000000440",227,108,368,140,173,177,132,94,102,77
"ENSMUSG00000000441",1243,779,1418,813,917,817,698,537,575,631
"ENSMUSG00000000486",909,211,46,201,156,336,35,50,41,166
"ENSMUSG00000000489",72,171,39,104,169,134,156,81,93,116
"ENSMUSG00000000530",127,209,56,121,246,222,208,133,125,127
"ENSMUSG00000000531",26.1059468844595,62.0043605121445,38.985630343613,45.0134160084639,76.4960172739759,80.0089075698555,69.0080106082643,80.0124720462305,73.8114800936762,60.007773517297
"ENSMUSG00000000532",634,633,1063,538,650,515,485,408,497,419
"ENSMUSG00000000538",870,1390,1313,1175,1777,1114,1258,1078,1255,1033
"ENSMUSG00000000544",2909,191,5447,1032,862,1069,207,59,158,63
"ENSMUSG00000000552",98,89,16,59,90,143,62,33,44,55
"ENSMUSG00000000555",75,100,48.3081468679336,69,75,116,156,81,64,146
"ENSMUSG00000000560",15.2502086868583,2,17.7538899827136,6.81245174704523,3.0000700528044,4.00041910382989,4.00083747518993,0,5.09982046593431,0
"ENSMUSG00000000561",338.882199869276,406.991096257573,466.912593960945,394.972915094614,465.598187283583,479,409,315.99999995878,359.292558923663,324.479932927735
"ENSMUSG00000000562",6.46162860480992,13.0885156963974,12,9,15,20.4855246042212,12.5364879334076,6.97876006821923,7.00027603347737,6.19809227483907
"ENSMUSG00000000563",4161,1568,6413,2107,2198,2688,1686,1173,1497.91770530639,1264
"ENSMUSG00000000567",123,45,422,96,88.4290260098743,62,80,16,17,60
"ENSMUSG00000000568",887.02096504175,743.029411701881,1037.02392895163,702.022191911303,859.053926621542,835.02284691367,595.041743659452,552.011829890754,636.670811439465,597.017892624866
"ENSMUSG00000000579",84.376141714344,151.875772885711,96.2780196081444,102.788384091911,157.024019640401,118.014309144919,164.383716125072,176.08181120579,117.264010277043,119.949867137905
"ENSMUSG00000000581",327,304,473,279,319,327,194,208,252,211
"ENSMUSG00000000594",803,642,314,568,695,931,529,303,401,466
"ENSMUSG00000000600",332.664601268308,628.402251573424,358.051114388128,401.086226334479,564.658826524027,394,443.715201778663,437.432078306901,490.900717463738,425.533204548522
"ENSMUSG00000000605",781,996.588677268993,847,741,1047,779,689,697,770,671
"ENSMUSG00000000606",0,1.07096972195712,0,1,1,0,1.02208927422189,0,1,0
"ENSMUSG00000000617",4,2,0,0,3,3,0,0,1,0
"ENSMUSG00000000627",49.0476937876222,67.1088610034868,10.0065242468363,31.0276495181186,62.0025869215608,59.0482936067483,56.045000454611,29.013961965309,28.0004830802454,32.0005219294338
"ENSMUSG00000000628",138,52,188,45,36,56.0105608057973,69,36.2429999442326,33,101.008829758286
"ENSMUSG00000000631",1574.00980669795,1424.01167400572,2273.9871884149,1502.01355729113,1982.01455430954,1495.0051343147,1263.01850401717,1157.02047807801,1333.0011598255,1116.00576223523
"ENSMUSG00000000632",3,12,4,18,21,3,6,20,10,6
"ENSMUSG00000000673",54,37,9,35.7943950068801,29,91.0168953312893,13,10,23,24
"ENSMUSG00000000682",1506,432,80,487,405,1021,111,100,119,352
"ENSMUSG00000000686",50,688,120,397,525,251,515,454,558,390
"ENSMUSG00000000690",3,4,0,1,11.004756445259,2,5,5.00623403912834,1,3
"ENSMUSG00000000693",10,14,10,20,17,23,11,8,5,11
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,2.00008776557547,0,1.00009594086182,0,0,0,2.02833872115492,0
"ENSMUSG00000000708",443,838,605,772,947,632,710,720,813,650
"ENSMUSG00000000711",1239,1855,1295,1406,2055,1461,1567,1332,1744,1406
